#Ligand RMSD
complex_191w.pdb 0.000
complex_124w.pdb 14.805
complex_189w.pdb 2.698
complex_142w.pdb 18.346
complex_152w.pdb 16.104
complex_179w.pdb 16.441
complex_158w.pdb 3.491
complex_167w.pdb 17.483
complex_175w.pdb 15.728
complex_147w.pdb 14.940
complex_29w.pdb 17.481
complex_173w.pdb 5.488
complex_177w.pdb 18.267
complex_161w.pdb 15.468
complex_12w.pdb 18.021
complex_195w.pdb 15.156
complex_18w.pdb 17.760
complex_178w.pdb 18.099
complex_187w.pdb 11.345
complex_10w.pdb 17.851
complex_4w.pdb 18.476
complex_7w.pdb 17.581
complex_2w.pdb 17.724
complex_15w.pdb 17.569
complex_53w.pdb 19.073
complex_194w.pdb 15.707
complex_21w.pdb 17.731
complex_23w.pdb 17.933
complex_8w.pdb 17.886
complex_121w.pdb 18.399
complex_17w.pdb 17.968
complex_196w.pdb 4.893
complex_156w.pdb 22.402
complex_24w.pdb 18.183
complex_22w.pdb 18.362
complex_157w.pdb 16.126
complex_6w.pdb 17.912
complex_192w.pdb 4.103
complex_19w.pdb 19.180
complex_9w.pdb 17.742
complex_150w.pdb 18.724
complex_184w.pdb 16.892
complex_37w.pdb 17.983
complex_30w.pdb 20.874
complex_3w.pdb 18.491
complex_190w.pdb 18.480
complex_31w.pdb 17.546
complex_16w.pdb 18.451
complex_34w.pdb 19.035
complex_80w.pdb 19.125
complex_65w.pdb 29.738
complex_185w.pdb 23.954
complex_120w.pdb 30.149
complex_168w.pdb 18.918
complex_197w.pdb 14.701
complex_170w.pdb 23.899
complex_71w.pdb 33.224
complex_74w.pdb 30.772
complex_171w.pdb 33.455
complex_101w.pdb 31.207
complex_41w.pdb 31.302
complex_49w.pdb 18.572
complex_193w.pdb 20.190
complex_5w.pdb 20.830
complex_90w.pdb 31.107
complex_46w.pdb 32.124
complex_47w.pdb 30.367
complex_198w.pdb 20.242
complex_67w.pdb 30.469
complex_183w.pdb 21.297
complex_164w.pdb 24.810
complex_133w.pdb 6.563
complex_60w.pdb 34.255
complex_140w.pdb 23.786
complex_56w.pdb 21.536
complex_176w.pdb 31.685
complex_159w.pdb 18.696
complex_137w.pdb 21.285
complex_117w.pdb 28.732
complex_186w.pdb 23.124
complex_72w.pdb 18.852
complex_146w.pdb 21.486
complex_134w.pdb 21.431
complex_182w.pdb 18.775
complex_44w.pdb 30.127
complex_43w.pdb 32.431
complex_70w.pdb 30.189
complex_131w.pdb 30.685
complex_103w.pdb 30.932
complex_33w.pdb 30.014
complex_54w.pdb 31.537
complex_148w.pdb 30.490
complex_52w.pdb 32.114
complex_39w.pdb 29.734
complex_98w.pdb 32.265
complex_126w.pdb 30.983
complex_88w.pdb 19.805
complex_163w.pdb 23.095
complex_25w.pdb 31.250
complex_162w.pdb 22.594
complex_76w.pdb 31.344
complex_50w.pdb 32.377
complex_172w.pdb 31.862
complex_11w.pdb 31.982
complex_166w.pdb 29.914
complex_58w.pdb 31.129
complex_93w.pdb 32.960
complex_123w.pdb 29.083
complex_114w.pdb 30.916
complex_111w.pdb 30.913
complex_82w.pdb 24.850
complex_174w.pdb 23.288
complex_62w.pdb 31.274
complex_32w.pdb 17.989
complex_122w.pdb 30.593
complex_113w.pdb 30.507
complex_94w.pdb 22.113
complex_61w.pdb 24.428
complex_160w.pdb 30.149
complex_125w.pdb 22.986
complex_78w.pdb 33.229
complex_92w.pdb 30.859
complex_91w.pdb 31.124
complex_149w.pdb 31.856
complex_20w.pdb 30.698
complex_132w.pdb 23.433
complex_169w.pdb 31.002
complex_141w.pdb 31.363
complex_135w.pdb 32.587
complex_106w.pdb 30.515
complex_154w.pdb 23.348
complex_129w.pdb 31.670
complex_68w.pdb 31.353
complex_1w.pdb 30.490
complex_108w.pdb 30.176
complex_13w.pdb 31.806
complex_96w.pdb 30.257
complex_127w.pdb 30.625
complex_115w.pdb 32.895
complex_36w.pdb 22.234
complex_81w.pdb 30.235
complex_151w.pdb 30.867
complex_64w.pdb 30.750
complex_26w.pdb 31.603
complex_75w.pdb 32.969
complex_27w.pdb 33.661
complex_63w.pdb 29.846
complex_112w.pdb 31.454
complex_69w.pdb 23.217
complex_38w.pdb 33.875
complex_14w.pdb 32.146
complex_110w.pdb 34.497
complex_40w.pdb 31.790
complex_144w.pdb 20.467
complex_35w.pdb 29.684
complex_42w.pdb 32.352
complex_48w.pdb 33.831
complex_165w.pdb 24.876
complex_143w.pdb 31.189
complex_55w.pdb 31.842
complex_109w.pdb 30.816
complex_79w.pdb 32.971
complex_99w.pdb 30.527
complex_84w.pdb 23.853
complex_28w.pdb 32.457
complex_59w.pdb 30.791
complex_85w.pdb 31.933
complex_105w.pdb 33.840
complex_83w.pdb 32.854
complex_95w.pdb 31.714
complex_199w.pdb 19.995
complex_119w.pdb 21.349
complex_89w.pdb 21.914
complex_87w.pdb 23.143
complex_138w.pdb 31.210
complex_66w.pdb 33.182
complex_155w.pdb 22.291
