#Ligand RMSD
complex_164w.pdb 0.000
complex_195w.pdb 3.312
complex_85w.pdb 16.254
complex_70w.pdb 16.361
complex_62w.pdb 16.074
complex_51w.pdb 15.254
complex_200w.pdb 14.939
complex_143w.pdb 4.330
complex_184w.pdb 17.768
complex_181w.pdb 4.670
complex_178w.pdb 6.026
complex_182w.pdb 3.360
complex_148w.pdb 4.013
complex_159w.pdb 17.795
complex_54w.pdb 16.296
complex_133w.pdb 2.891
complex_115w.pdb 16.110
complex_11w.pdb 17.869
complex_86w.pdb 14.937
complex_175w.pdb 4.811
complex_198w.pdb 19.914
complex_81w.pdb 16.658
complex_19w.pdb 19.202
complex_95w.pdb 16.925
complex_12w.pdb 19.244
complex_68w.pdb 16.983
complex_196w.pdb 15.440
complex_27w.pdb 16.394
complex_125w.pdb 19.203
complex_185w.pdb 5.328
complex_110w.pdb 18.280
complex_121w.pdb 20.552
complex_31w.pdb 18.253
complex_170w.pdb 18.952
complex_87w.pdb 16.984
complex_33w.pdb 18.264
complex_73w.pdb 16.721
complex_163w.pdb 15.002
complex_44w.pdb 18.408
complex_28w.pdb 19.244
complex_5w.pdb 19.061
complex_37w.pdb 16.856
complex_40w.pdb 19.639
complex_118w.pdb 18.976
complex_142w.pdb 19.635
complex_56w.pdb 16.966
complex_2w.pdb 11.965
complex_103w.pdb 17.382
complex_102w.pdb 17.738
complex_194w.pdb 17.289
complex_14w.pdb 19.356
complex_65w.pdb 15.635
complex_130w.pdb 19.745
complex_168w.pdb 19.514
complex_94w.pdb 15.821
complex_34w.pdb 19.272
complex_18w.pdb 18.964
complex_22w.pdb 18.551
complex_97w.pdb 15.966
complex_15w.pdb 19.706
complex_96w.pdb 19.353
complex_41w.pdb 20.313
complex_122w.pdb 20.805
complex_92w.pdb 16.056
complex_120w.pdb 19.033
complex_99w.pdb 17.638
complex_187w.pdb 18.495
complex_147w.pdb 19.033
complex_131w.pdb 19.780
complex_114w.pdb 18.744
complex_67w.pdb 18.917
complex_64w.pdb 17.828
complex_16w.pdb 16.795
complex_98w.pdb 19.260
complex_49w.pdb 18.335
complex_23w.pdb 19.053
complex_188w.pdb 18.718
complex_141w.pdb 3.387
complex_42w.pdb 18.567
complex_117w.pdb 19.755
complex_45w.pdb 18.521
complex_139w.pdb 19.495
complex_72w.pdb 18.808
complex_10w.pdb 17.552
complex_186w.pdb 20.639
complex_109w.pdb 16.895
complex_78w.pdb 17.957
complex_158w.pdb 19.467
complex_66w.pdb 18.254
complex_48w.pdb 13.290
complex_167w.pdb 12.936
complex_58w.pdb 17.436
complex_60w.pdb 19.032
complex_24w.pdb 17.933
complex_82w.pdb 21.149
complex_126w.pdb 18.607
complex_4w.pdb 18.405
complex_59w.pdb 16.194
complex_17w.pdb 13.574
complex_20w.pdb 18.750
complex_136w.pdb 17.380
complex_25w.pdb 18.587
complex_172w.pdb 16.545
complex_169w.pdb 19.458
complex_113w.pdb 18.348
complex_101w.pdb 17.442
complex_91w.pdb 24.557
complex_160w.pdb 4.312
complex_104w.pdb 20.325
complex_30w.pdb 18.010
complex_84w.pdb 16.882
complex_197w.pdb 19.100
complex_36w.pdb 17.967
complex_111w.pdb 18.263
complex_57w.pdb 12.514
complex_90w.pdb 16.194
complex_119w.pdb 25.886
complex_50w.pdb 18.023
complex_32w.pdb 17.037
complex_157w.pdb 5.075
complex_106w.pdb 17.448
complex_61w.pdb 18.822
complex_191w.pdb 20.007
complex_74w.pdb 24.008
complex_6w.pdb 19.898
complex_154w.pdb 18.880
complex_176w.pdb 20.318
complex_127w.pdb 20.022
complex_151w.pdb 20.110
complex_135w.pdb 21.064
complex_89w.pdb 16.768
complex_21w.pdb 15.579
complex_100w.pdb 17.863
complex_116w.pdb 18.449
complex_161w.pdb 19.212
complex_144w.pdb 20.997
complex_192w.pdb 20.547
complex_155w.pdb 19.328
complex_71w.pdb 19.262
complex_189w.pdb 24.509
complex_150w.pdb 20.288
complex_9w.pdb 18.442
complex_177w.pdb 18.820
complex_53w.pdb 18.256
complex_108w.pdb 16.537
complex_52w.pdb 18.963
complex_128w.pdb 21.465
complex_55w.pdb 18.539
complex_29w.pdb 7.136
complex_152w.pdb 20.046
complex_75w.pdb 17.701
complex_137w.pdb 20.245
complex_156w.pdb 19.706
complex_112w.pdb 16.480
complex_63w.pdb 20.091
complex_46w.pdb 18.216
complex_47w.pdb 10.095
